name;ticker;sector
3M;MMM;Conglomerate
American Express;AXP;Financial services
Amgen;AMGN;Biopharmaceutical
Apple;AAPL;Information technology
Boeing;BA;Aerospace and defense
Caterpillar;CAT;Construction and Mining
Chevron;CVX;Petroleum industry
Cisco;CSCO;Information technology
Coca-Cola;KO;Drink industry
Dow;DOW;Chemical industry
Goldman Sachs;GS;Financial services
Home Depot;HD;Home Improvement
Honeywell;HON;Conglomerate
Intel;INTC;Semiconductor industry
IBM;IBM;Information technology
Johnson & Johnson;JNJ;Pharmaceutical industry
JPMorgan Chase;JPM;Financial services
McDonald's;MCD;Food industry
Merck;MRK;Pharmaceutical industry
Microsoft;MSFT;Information technology
Nike;NKE;Clothing industry
Procter & Gamble;PG;Fast-moving consumer goods
Salesforce;CRM;Information technology
Travelers;TRV;Insurance
UnitedHealth;UNH;Managed health care
Verizon;VZ;Telecommunications industry
Visa;V;Financial services
Walgreens Boots Alliance;WBA;Retailing
Walmart;WMT;Retailing
Walt Disney Company;DIS;Broadcasting and entertainment
