sector;ticker;name;type;amount;percentage;percentage_acum
Bens Indls / Máqs e Equips;AERI3;AERIS;ON      NM;227070796;0.015;2.844
Bens Indls / Máqs e Equips;ARML3;ARMAC;ON      NM;171266914;0.09;2.844
Bens Indls / Máqs e Equips;KEPL3;KEPLER WEBER;ON;89428803;0.085;2.844
Bens Indls / Máqs e Equips;MILS3;MILLS;ON      NM;100457333;0.049;2.844
Bens Indls / Máqs e Equips;ROMI3;ROMI;ON      NM;40992556;0.025;2.844
Bens Indls / Máqs e Equips;TASA4;TAURUS ARMAS;PN      N2;63034317;0.039;2.844
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1481593024;2.541;2.844
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734632205;0.456;0.672
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;554935063;0.058;0.672
Bens Indls / Mat Transporte;RAPT4;RANDON PART;PN      N1;177742165;0.073;0.672
Bens Indls / Mat Transporte;RCSL3;RECRUSUL;ON;3686690;0.0;0.672
Bens Indls / Mat Transporte;TUPY3;TUPY;ON      NM;67547494;0.085;0.672
Bens Indls / Serviços;GGPS3;GPS;ON      NM;391345218;0.213;0.263
Bens Indls / Serviços;SEQL3;SEQUOIA LOG;ON      NM;122619788;0.018;0.263
Bens Indls / Serviços;VLID3;VALID;ON      NM;79254979;0.032;0.263
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327646296;0.187;2.331
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;1115681435;0.552;2.331
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;333657615;0.065;2.331
Bens Indls/Transporte;GOLL4;GOL;PN      N2;190059275;0.069;2.331
Bens Indls/Transporte;HBSA3;HIDROVIAS;ON      NM;760109566;0.086;2.331
Bens Indls/Transporte;LOGN3;LOG-IN;ON      NM;29115630;0.038;2.331
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1215642613;1.022;2.331
Bens Indls/Transporte;STBP3;SANTOS BRP;ON  EDJ NM;858379874;0.284;2.331
Bens Indls/Transporte;TGMA3;TEGMA;ON  EDJ NM;32001480;0.028;2.331
Bens Industriais / Constr e Engenh;PTBL3;PORTOBELLO;ON      NM;54516127;0.022;0.022
Comput e Equips;INTB3;INTELBRAS;ON      NM;114530513;0.155;0.211
Comput e Equips;MLAS3;MULTILASER;ON      NM;173312607;0.027;0.211
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;73573028;0.029;0.211
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1076512610;0.48;2.276
Cons N  Básico / Alimentos Processados;CAML3;CAMIL;ON      NM;105541597;0.044;2.276
Cons N  Básico / Alimentos Processados;JALL3;JALLESMACHAD;ON      NM;96450967;0.032;2.276
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON  ED  NM;1134986483;1.143;2.276
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;69291942;0.115;2.276
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;316724584;0.137;2.276
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;260409710;0.15;2.276
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;143294210;0.175;2.276
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4386652506;2.992;2.992
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;795949801;0.666;1.281
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;528743156;0.365;1.281
Cons N Cíclico / Comércio Distr.;GMAT3;GRUPO MATEUS;ON      NM;463952163;0.125;1.281
