ticker;name;sector;sub_industry
AERI3;AERIS;Industrials;Specialty Industrial Machinery
ARML3;ARMAC;Industrials;Rental & Leasing Services
KEPL3;KEPLER WEBER;Industrials;Farm & Heavy Construction Machinery
MILS3;MILLS;Industrials;Rental & Leasing Services
ROMI3;ROMI;Industrials;Industrial Distribution
TASA4;TAURUS ARMAS;Industrials;Aerospace & Defense
WEGE3;WEG;Industrials;Specialty Industrial Machinery
EMBR3;EMBRAER;Industrials;Aerospace & Defense
POMO4;MARCOPOLO;Industrials;Farm & Heavy Construction Machinery
RAPT4;RANDON PART;Industrials;Farm & Heavy Construction Machinery
RCSL3;RECRUSUL;Industrials;Specialty Industrial Machinery
TUPY3;TUPY;Consumer Cyclical;Auto Parts
GGPS3;GPS;Consumer Cyclical;Personal Services
SEQL3;SEQUOIA LOG;Industrials;Integrated Freight & Logistics
VLID3;VALID;Industrials;Specialty Business Services
AZUL4;AZUL;Industrials;Airlines
CCRO3;CCR SA;Industrials;Infrastructure Operations
ECOR3;ECORODOVIAS;Industrials;Infrastructure Operations
GOLL4;GOL;Industrials;Airlines
HBSA3;HIDROVIAS;Industrials;Integrated Freight & Logistics
LOGN3;LOG-IN;Industrials;Marine Shipping
RAIL3;RUMO S.A.;Industrials;Railroads
STBP3;SANTOS BRP;Industrials;Marine Shipping
TGMA3;TEGMA;Industrials;Trucking
PTBL3;PORTOBELLO;Industrials;Building Products & Equipment
INTB3;INTELBRAS;Technology;Communication Equipment
MLAS3;MULTILASER;Technology;Electronics & Computer Distribution
POSI3;POSITIVO TEC;Technology;Computer Hardware
BRFS3;BRF SA;Consumer Defensive;Packaged Foods
CAML3;CAMIL;Consumer Defensive;Packaged Foods
JALL3;JALLESMACHAD;Consumer Defensive;Packaged Foods
JBSS3;JBS;Consumer Defensive;Packaged Foods
MDIA3;M.DIASBRANCO;Consumer Defensive;Packaged Foods
MRFG3;MARFRIG;Consumer Defensive;Packaged Foods
BEEF3;MINERVA;Consumer Defensive;Farm Products
SMTO3;SAO MARTINHO;Consumer Defensive;Confectioners
ABEV3;AMBEV S/A;Consumer Defensive;Beverages—Brewers
ASAI3;ASSAI;Consumer Defensive;Grocery Stores
CRFB3;CARREFOUR BR;Consumer Defensive;Food Distribution
GMAT3;GRUPO MATEUS;Consumer Cyclical;Department Stores
PCAR3;P.ACUCAR-CBD;Consumer Cyclical;Department Stores
NTCO3;GRUPO NATURA;Consumer Defensive;Household & Personal Products
TTEN3;3TENTOS;Basic Materials;Agricultural Inputs
AGRO3;BRASILAGRO;Consumer Defensive;Farm Products
RAIZ4;RAIZEN;Utilities;Utilities—Renewable
SLCE3;SLC AGRICOLA;Consumer Defensive;Farm Products
AMER3;AMERICANAS;Consumer Cyclical;Internet Retail
ARZZ3;AREZZO CO;Consumer Cyclical;Footwear & Accessories
CEAB3;CEA MODAS;Consumer Cyclical;Specialty Retail
ESPA3;ESPACOLASER;Consumer Cyclical;Personal Services
SBFG3;GRUPO SBF;Consumer Cyclical;Specialty Retail
SOMA3;GRUPO SOMA;Consumer Cyclical;Apparel Retail
GUAR3;GUARARAPES;Consumer Cyclical;Apparel Retail
AMAR3;LOJAS MARISA;Consumer Cyclical;Apparel Retail
LREN3;LOJAS RENNER;Consumer Cyclical;Department Stores
MGLU3;MAGAZ LUIZA;Consumer Cyclical;Specialty Retail
PETZ3;PETZ;Consumer Cyclical;Specialty Retail
LJQQ3;QUERO-QUERO;Consumer Cyclical;Specialty Retail
VIIA3;VIA;Consumer Cyclical;Specialty Retail
ALPA4;ALPARGATAS;Consumer Cyclical;Footwear & Accessories
GRND3;GRENDENE;Consumer Cyclical;Footwear & Accessories
TECN3;TECHNOS;Consumer Cyclical;Luxury Goods
VIVA3;VIVARA S.A.;Consumer Cyclical;Luxury Goods
VULC3;VULCABRAS;Consumer Cyclical;Footwear & Accessories
MYPK3;IOCHP-MAXION;Consumer Cyclical;Auto Parts
LEVE3;METAL LEVE;Consumer Cyclical;Auto Parts
CURY3;CURY S/A;Real Estate;Real Estate—Development
CYRE3;CYRELA REALT;Consumer Cyclical;Residential Construction
DIRR3;DIRECIONAL;Real Estate;Real Estate—Development
EVEN3;EVEN;Real Estate;Real Estate—Development
EZTC3;EZTEC;Real Estate;Real Estate—Development
GFSA3;GAFISA;Consumer Cyclical;Residential Construction
