IBXX - Carteira do Dia 21/11/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.481.593.024;2,731;2,731;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.205;0,490;0,490;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.646.296;0,201;2,341;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;1.115.681.435;0,593;2,341;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,070;2,341;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;190.059.275;0,074;2,341;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,099;2,341;
Bens Indls/Transporte;STBP3;SANTOS BRP;ON  EDJ NM;858.379.874;0,304;2,341;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;0,516;2,364;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON  ED  NM;1.134.986.483;1,228;2,364;
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;69.291.942;0,124;2,364;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;316.724.584;0,147;2,364;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;260.409.710;0,161;2,364;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,188;2,364;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.386.652.506;3,215;3,215;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;795.949.801;0,715;1,241;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,392;1,241;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,134;1,241;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,483;0,483;
Cons N Ciclico/Agropecuária;RAIZ4;RAIZEN;PN      N2;1.246.412.032;0,238;0,433;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,195;0,433;
Consumo Cíclico / Comércio;AMER3;AMERICANAS;ON      NM;596.086.291;0,290;2,614;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;60.358.029;0,250;2,614;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,265;2,614;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;970.515.779;1,104;2,614;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,425;2,614;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;335.672.329;0,116;2,614;
Consumo Cíclico / Comércio;VIIA3;VIA;ON      NM;1.576.975.642;0,164;2,614;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;202.765.994;0,151;0,151;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;274.142.301;0,175;0,360;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON  ED  NM;94.318.339;0,067;0,360;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;298.436.955;0,118;0,360;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;275.967.676;0,073;0,073;
Diversos;COGN3;COGNA ON;ON      NM;1.820.405.422;0,193;3,118;
Diversos;RENT3;LOCALIZA;ON      NM;893.978.241;2,526;3,118;
Diversos;MOVI3;MOVIDA;ON      NM;131.875.326;0,055;3,118;
Diversos;VAMO3;VAMOS;ON      NM;314.797.346;0,188;3,118;
Diversos;YDUQ3;YDUQS PART;ON      NM;296.015.511;0,156;3,118;
Financ e Outros / Explor Imóveis;BRML3;BR MALLS PAR;ON      NM;828.273.884;0,325;0,785;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;216.457.368;0,181;0,785;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.145.328;0,279;0,785;
Financ e Outros / Interms Financs;BPAN4;BANCO PAN;PN      N1;341.549.703;0,106;17,176;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.508.883.586;0,939;17,176;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.156.077.326;3,776;17,176;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;1.420.731.069;2,292;17,176;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,431;17,176;
Financ e Outros / Interms Financs;ITSA4;ITAUSA;PN  EJB N1;5.209.666.310;2,167;17,176;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.799.907.051;6,000;17,176;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;355.642.848;0,465;17,176;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,950;1,501;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;2.455.237.214;0,085;1,501;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;179.759.767;0,183;1,501;
Financ e Outros / Previd  Seguros;SULA11;SUL AMERICA;UNT     N2;284.059.601;0,283;1,501;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.901.731.302;3,287;3,547;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON  EJ  NM;1.095.401.258;0,260;3,547;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;274.863.424;0,108;2,797;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,726;2,797;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,963;2,797;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN  EDJ N1;251.025.058;0,319;17,859;
Mats Básicos / Mineração;CBAV3;CBA;ON      NM;191.350.000;0,105;17,859;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON  EDJ N2;1.110.550.596;0,189;17,859;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.547.296.398;17,246;17,859;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.212.486;0,365;0,365;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.111.956.242;1,556;2,539;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;686.077.578;0,410;2,539;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;589.695.175;0,390;2,539;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.014.562;0,183;2,539;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;200.453.863;0,359;15,271;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.171.063.698;0,937;15,271;
Petróleo/ Gás e Biocombustíveis;ENAT3;ENAUTA PART;ON      NM;77.336.145;0,050;15,271;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.701.760.571;5,278;15,271;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.441.248;5,721;15,271;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,358;15,271;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,670;15,271;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.442.976;0,898;15,271;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;400.842.480;0,841;2,143;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,302;2,143;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;370.847.036;0,298;2,812;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.454.740.939;1,187;2,812;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.039.277;0,078;2,812;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;932.048.593;1,249;2,812;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;419.466.860;0,146;0,900;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;657.963.256;0,034;0,900;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;519.851.955;0,720;0,900;
Telecomunicação;VIVT3;TELEF BRASIL;ON;429.455.552;0,780;1,266;
Telecomunicação;TIMS3;TIM;ON      NM;808.436.195;0,486;1,266;
Utilidade Públ / Água Saneamento;AMBP3;AMBIPAR;ON      NM;43.853.759;0,050;0,931;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.002.999;0,881;0,931;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;301.966.318;0,195;10,494;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.442.098.974;0,700;10,494;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.563.365.506;0,525;10,494;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,297;10,494;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;2.021.139.464;4,175;10,494;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;279.941.393;0,624;10,494;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,240;10,494;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,519;10,494;
