IBXX - Carteira do Dia 16/11/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;200.453.863;0,393;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,156;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,156;
AMBP3;AMBIPAR;ON      NM;43.853.759;0,051;
AMER3;AMERICANAS;ON      NM;596.086.291;0,337;
ARZZ3;AREZZO CO;ON      NM;60.358.029;0,240;
ASAI3;ASSAI;ON      NM;795.949.801;0,704;
AURE3;AUREN;ON      NM;301.966.318;0,188;
AZUL4;AZUL;PN      N2;327.646.296;0,205;
B3SA3;B3;ON      NM;5.901.731.302;3,320;
BPAN4;BANCO PAN;PN      N1;341.549.703;0,113;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,939;
BRML3;BR MALLS PAR;ON      NM;828.273.884;0,325;
BBDC3;BRADESCO;ON      N1;1.508.883.586;0,892;
BBDC4;BRADESCO;PN      N1;5.156.077.326;3,526;
BRAP4;BRADESPAR;PN  EDJ N1;251.025.058;0,305;
BBAS3;BRASIL;ON      NM;1.420.731.069;2,333;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,373;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,554;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,432;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,403;
CBAV3;CBA;ON      NM;191.350.000;0,110;
CCRO3;CCR SA;ON      NM;1.115.681.435;0,579;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,704;
CIEL3;CIELO;ON  EJ  NM;1.095.401.258;0,253;
COGN3;COGNA ON;ON      NM;1.820.405.422;0,202;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,544;
CSAN3;COSAN;ON      NM;1.171.063.698;0,936;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,291;
CMIN3;CSNMINERACAO;ON  EDJ N2;1.110.550.596;0,189;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,075;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,187;
DXCO3;DEXCO;ON      NM;274.863.424;0,116;
ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,072;
ELET3;ELETROBRAS;ON      N1;2.021.139.464;4,146;
ELET6;ELETROBRAS;PNB     N1;279.941.393;0,618;
EMBR3;EMBRAER;ON      NM;734.632.205;0,433;
ENAT3;ENAUTA PART;ON      NM;77.336.145;0,052;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,243;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,521;
ENEV3;ENEVA;ON      NM;1.577.960.668;0,930;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,475;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,421;
EZTC3;EZTEC;ON      NM;94.318.339;0,071;
FLRY3;FLEURY;ON      NM;370.847.036;0,292;
GGBR4;GERDAU;PN      N1;1.111.956.242;1,565;
GOAU4;GERDAU MET;PN      N1;686.077.578;0,411;
GOLL4;GOL;PN      N2;190.059.275;0,078;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,503;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,270;
HAPV3;HAPVIDA;ON      NM;4.454.740.939;1,286;
HYPE3;HYPERA;ON      NM;400.842.480;0,860;
IGTI11;IGUATEMI S.A;UNT     N1;216.457.368;0,182;
IRBR3;IRBBRASIL RE;ON      NM;2.455.237.214;0,104;
ITSA4;ITAUSA;PN  EB  N1;5.209.666.310;2,103;
ITUB4;ITAUUNIBANCO;PN      N1;4.799.907.051;5,771;
JBSS3;JBS;ON      NM;1.134.986.483;1,379;
KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,739;
RENT3;LOCALIZA;ON      NM;893.978.241;2,637;
LWSA3;LOCAWEB;ON      NM;419.466.860;0,159;
LREN3;LOJAS RENNER;ON      NM;970.515.779;1,103;
MDIA3;M.DIASBRANCO;ON      NM;69.291.942;0,125;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,469;
MRFG3;MARFRIG;ON      NM;316.724.584;0,156;
CASH3;MELIUZ;ON      NM;657.963.256;0,036;
BEEF3;MINERVA;ON      NM;260.409.710;0,175;
MOVI3;MOVIDA;ON      NM;131.875.326;0,061;
MRVE3;MRV;ON      NM;298.436.955;0,122;
MULT3;MULTIPLAN;ON      N2;268.145.328;0,282;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,148;
PETR3;PETROBRAS;ON      N2;3.701.760.571;5,269;
PETR4;PETROBRAS;PN      N2;4.566.441.248;5,706;
PRIO3;PETRORIO;ON      NM;839.159.130;1,457;
PETZ3;PETZ;ON      NM;335.672.329;0,124;
PSSA3;PORTO SEGURO;ON      NM;179.759.767;0,181;
QUAL3;QUALICORP;ON      NM;277.039.277;0,084;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,286;
RAIZ4;RAIZEN;PN      N2;1.246.412.032;0,232;
RDOR3;REDE D OR;ON      NM;932.048.593;1,324;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,096;
SBSP3;SABESP;ON      NM;340.002.999;0,887;
SANB11;SANTANDER BR;UNT;355.642.848;0,464;
STBP3;SANTOS BRP;ON  EDJ NM;858.379.874;0,301;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,182;
CSNA3;SID NACIONAL;ON;589.695.175;0,398;
